id,genre,track_name,location,preview_url,filename,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood,rms_calc,mean_energy,std_energy,min_energy,max_energy,max_rms,std_rms,median_rms,min_rms,mfcc_mean_00,mfcc_mean_01,mfcc_mean_02,mfcc_mean_03,mfcc_mean_04,mfcc_mean_05,mfcc_mean_06,mfcc_mean_07,mfcc_mean_08,mfcc_mean_09,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_mean_21,mfcc_mean_22,mfcc_mean_23,mfcc_mean_24,mfcc_mean_25,mfcc_std_00,mfcc_std_01,mfcc_std_02,mfcc_std_03,mfcc_std_04,mfcc_std_05,mfcc_std_06,mfcc_std_07,mfcc_std_08,mfcc_std_09,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20,mfcc_std_21,mfcc_std_22,mfcc_std_23,mfcc_std_24,mfcc_std_25,mfcc_max_00,mfcc_max_01,mfcc_max_02,mfcc_max_03,mfcc_max_04,mfcc_max_05,mfcc_max_06,mfcc_max_07,mfcc_max_08,mfcc_max_09,mfcc_max_10,mfcc_max_11,mfcc_max_12,mfcc_max_13,mfcc_max_14,mfcc_max_15,mfcc_max_16,mfcc_max_17,mfcc_max_18,mfcc_max_19,mfcc_max_20,mfcc_max_21,mfcc_max_22,mfcc_max_23,mfcc_max_24,mfcc_max_25,mfcc_min_00,mfcc_min_01,mfcc_min_02,mfcc_min_03,mfcc_min_04,mfcc_min_05,mfcc_min_06,mfcc_min_07,mfcc_min_08,mfcc_min_09,mfcc_min_10,mfcc_min_11,mfcc_min_12,mfcc_min_13,mfcc_min_14,mfcc_min_15,mfcc_min_16,mfcc_min_17,mfcc_min_18,mfcc_min_19,mfcc_min_20,mfcc_min_21,mfcc_min_22,mfcc_min_23,mfcc_min_24,mfcc_min_25
0ziXftS3A7jAVobpKVKwg9,post-rock,"Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir)",./scrapes/Dark/0000_Dvergm l with Steind r Andersen Hilmar rn Hilmarsson and Mar a Huld Markan Sigf sd ttir.mp3,https://p.scdn.co/mp3-preview/728e9c2984513a9550fcea88a3be6ebe6cb8e80f?cid=04efa8f320b849739fa98c7d12ffbe9c,0000_Dvergm l with Steind r Andersen Hilmar rn Hilmarsson and Mar a Huld Markan Sigf sd ttir.mp3,Sigur Rós,0.452,0.507,9,-13.181,0,0.0272,0.215,0.905,0.0788,0.56,130.608,Dark,[[0.18235658 0.18390869 0.17744294 ... 0.10510843 0.12818718 0.13570023]],16.071763504061803,9.860196540761345,1.6448072240559952,116.75626264348472,0.4775349,0.0487034,0.16607383,0.056679048,-127.349106,172.76286,-38.9392,42.690353,-12.771213,18.5091,-7.1863594,15.227067,6.036448,2.8014402,-0.16015804,5.438214,8.293221,0.8445051,5.06738,0.7373265,0.21837196,-4.6586266,4.517788,-3.5784614,0.551073,-5.3691735,2.0784066,4.616948,0.89884776,-0.703809,25.609026,13.314389,8.848237,13.358882,9.341359,8.797725,8.701,8.350511,8.15132,8.400441,7.2664213,8.048748,8.003815,7.1995416,7.409059,8.449391,7.3525715,6.543082,6.2413445,5.8945646,7.060344,6.9100137,7.333551,7.6880045,6.3386574,7.7046175,-34.92299,216.76259,-10.6952095,83.93123,15.691949,46.14228,28.10461,42.780357,36.96621,28.866055,25.778233,34.340347,31.87255,27.422318,27.644253,32.93406,22.241684,18.355106,26.038437,13.258681,23.961468,14.9488,26.41467,29.205647,23.477894,29.059437,-193.28047,131.9733,-72.54979,-3.213114,-40.61145,-9.244274,-36.44481,-13.314804,-18.744518,-24.979301,-24.12159,-18.84436,-17.407686,-21.695786,-20.316029,-20.502102,-20.787334,-25.312674,-17.928,-27.247902,-21.355286,-27.904734,-21.350882,-22.807076,-22.335728,-23.736908
0ziXftS3A7jAVobpKVKwg9,compositional ambient,"Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir)",./scrapes/Dark/0001_Dvergm l with Steind r Andersen Hilmar rn Hilmarsson and Mar a Huld Markan Sigf sd ttir.mp3,https://p.scdn.co/mp3-preview/728e9c2984513a9550fcea88a3be6ebe6cb8e80f?cid=04efa8f320b849739fa98c7d12ffbe9c,0001_Dvergm l with Steind r Andersen Hilmar rn Hilmarsson and Mar a Huld Markan Sigf sd ttir.mp3,Hilmar Örn Hilmarsson,0.452,0.507,9,-13.181,0,0.0272,0.215,0.905,0.0788,0.56,130.608,Dark,[[0.18235658 0.18390869 0.17744294 ... 0.10510843 0.12818718 0.13570023]],16.071763504061803,9.860196540761345,1.6448072240559952,116.75626264348472,0.4775349,0.0487034,0.16607383,0.056679048,-127.349106,172.76286,-38.9392,42.690353,-12.771213,18.5091,-7.1863594,15.227067,6.036448,2.8014402,-0.16015804,5.438214,8.293221,0.8445051,5.06738,0.7373265,0.21837196,-4.6586266,4.517788,-3.5784614,0.551073,-5.3691735,2.0784066,4.616948,0.89884776,-0.703809,25.609026,13.314389,8.848237,13.358882,9.341359,8.797725,8.701,8.350511,8.15132,8.400441,7.2664213,8.048748,8.003815,7.1995416,7.409059,8.449391,7.3525715,6.543082,6.2413445,5.8945646,7.060344,6.9100137,7.333551,7.6880045,6.3386574,7.7046175,-34.92299,216.76259,-10.6952095,83.93123,15.691949,46.14228,28.10461,42.780357,36.96621,28.866055,25.778233,34.340347,31.87255,27.422318,27.644253,32.93406,22.241684,18.355106,26.038437,13.258681,23.961468,14.9488,26.41467,29.205647,23.477894,29.059437,-193.28047,131.9733,-72.54979,-3.213114,-40.61145,-9.244274,-36.44481,-13.314804,-18.744518,-24.979301,-24.12159,-18.84436,-17.407686,-21.695786,-20.316029,-20.502102,-20.787334,-25.312674,-17.928,-27.247902,-21.355286,-27.904734,-21.350882,-22.807076,-22.335728,-23.736908
2njj6RRRr3LTQ0KR57k3bY,compositional ambient,Carapace,./scrapes/Dark/0002_Carapace.mp3,https://p.scdn.co/mp3-preview/afccdc6c43a6990bcd072eeffe4143d96e4738e8?cid=04efa8f320b849739fa98c7d12ffbe9c,0002_Carapace.mp3,Julia Kent,0.479,0.325,4,-14.01,0,0.0333,0.161,0.752,0.104,0.222,132.046,Dark,[[0.162123   0.18262714 0.17156467 ... 0.17575476 0.14741606 0.13846117]],27.62125555410266,16.511347975113114,2.6555515401387053,135.20028695297393,0.51387066,0.06423922,0.21426086,0.07201822,-148.87318,199.02914,-28.306532,28.042295,6.357623,22.653368,2.170722,0.402468,5.91542,-2.5619535,-1.3889617,2.2141502,0.4372461,-0.28171775,0.8859151,-1.3323517,-5.7161107,-11.761327,-6.8024516,-5.1812973,1.6439348,-8.627007,-8.971433,-5.0761375,-8.398148,-3.1125674,22.373587,10.508486,7.260468,8.017689,8.04038,6.9547577,7.259607,6.2741923,6.4550743,5.59461,5.217427,7.133297,8.326189,6.647901,5.8108172,6.3056946,6.38807,5.3740563,5.0736523,5.1018667,4.6872134,5.615275,5.924572,5.9534802,5.8546095,5.574979,-89.50275,224.8252,-5.8423133,54.92814,35.112785,50.987823,26.144678,22.13018,30.815485,20.786661,16.276512,22.125645,23.659058,19.108994,17.151405,18.56696,18.014603,7.2613506,11.846397,10.7303295,17.380545,8.261864,12.972477,17.918606,15.100071,22.553026,-226.27313,136.90302,-54.610203,-2.2728732,-31.16568,2.6639326,-22.652641,-18.004036,-15.438351,-18.560585,-17.594286,-18.073162,-23.329983,-22.072754,-16.755466,-21.879902,-24.625935,-29.840353,-24.43517,-26.6398,-13.015192,-30.933613,-31.009972,-23.414818,-27.49519,-21.08105
1F3pzdYyCJlnQoCM9gFzaU,alternative dance,Dimensions,./scrapes/Dark/0003_Dimensions.mp3,https://p.scdn.co/mp3-preview/5bab5a0e4b071d63509896b706101d0d6267632a?cid=04efa8f320b849739fa98c7d12ffbe9c,0003_Dimensions.mp3,Arcade Fire,0.218,0.179,3,-24.814,1,0.0397,0.966,0.956,0.0858,0.0383,163.743,Dark,[[0.08190572 0.09076097 0.10214086 ... 0.1446249  0.17629445 0.18284172]],15.755614813783291,12.252178058979805,0.20624977173376013,77.14918734622455,0.3881778,0.07106889,0.16430405,0.020070665,-279.0558,210.8766,26.417038,25.548689,20.50413,10.548943,12.182817,1.1368799,-2.104531,-2.8015122,3.6700988,7.862539,4.4115334,2.8387845,-2.4367173,-3.8171678,1.2771629,5.8979764,9.667386,9.879725,7.6796045,5.585785,3.1802418,-1.7909814,-4.7874618,0.7109664,30.734867,21.744806,9.69558,8.462115,7.064418,5.6925344,8.126071,7.1152873,6.372854,7.7464647,7.933771,8.596983,7.8075953,6.0063944,7.024335,7.565903,6.8264017,7.8608446,8.004554,6.5003557,6.576236,6.186816,6.15677,6.0521107,6.9292316,7.5708466,-213.82065,252.9747,55.602913,53.928436,45.43644,31.104641,34.186157,22.605755,25.983177,21.876293,30.298367,38.07466,32.04513,22.025616,14.643316,19.45443,26.26316,30.156471,36.30078,32.983673,29.479868,29.968897,23.530907,16.506454,15.849078,23.285229,-358.00967,144.08603,-8.037516,-7.2826176,1.0137334,-10.598142,-10.1550045,-20.899113,-27.76062,-24.013714,-18.120132,-16.556835,-17.570707,-18.47231,-26.15628,-28.70783,-19.118492,-16.791912,-16.208221,-10.933704,-15.082008,-14.501289,-15.782144,-20.5517,-23.509377,-20.663221
74xCaDznBiIIktSPbFd31H,electronica,Blurred - Sven Helbig Rework,./scrapes/Dark/0004_Blurred Sven Helbig Rework.mp3,https://p.scdn.co/mp3-preview/b671ee0fc405718f36b68f3a2f0b1d2476bd09cf?cid=04efa8f320b849739fa98c7d12ffbe9c,0004_Blurred Sven Helbig Rework.mp3,Kiasmos,0.0855,0.122,2,-18.526,1,0.0436,0.946,0.945,0.134,0.0372,85.44,Dark,[[0.1131999  0.12455802 0.14131461 ... 0.10973129 0.09842171 0.10537075]],10.398569976120546,13.170759737113883,0.161237396834559,99.82338359750065,0.4415513,0.0729642,0.09997846,0.017745895,-239.6503,187.07938,-21.04426,16.122416,19.15044,0.5823765,-3.7873244,-5.823203,-0.047907308,-3.7963784,-4.709604,-8.294151,-12.300686,-8.541144,-3.6999552,-6.006997,-6.0855536,-0.9718777,-0.031999476,0.7456161,-1.3676153,-6.341524,-8.432927,-7.3797307,-3.5619044,-0.053959824,37.126785,17.713629,10.9065,13.025969,7.6797805,10.656434,9.130793,7.498052,9.235923,7.473781,7.948751,6.7489214,6.7793365,7.1498027,7.1146383,7.2290773,6.509495,7.4402094,9.227581,8.310669,7.6040726,7.3779683,7.9924164,8.553045,6.8803506,6.3784137,-171.54361,225.45615,22.12326,49.98459,47.300682,27.788212,19.909492,18.761738,22.178116,18.090591,22.016638,16.772942,15.553119,14.547413,17.920525,15.48539,14.946886,21.402712,28.512295,22.207682,21.651798,17.821602,21.638632,27.926678,16.958923,19.434433,-330.19403,141.01308,-53.119324,-23.61261,-2.0261896,-39.219852,-28.541496,-26.784513,-24.875317,-27.59873,-31.259808,-30.693295,-32.6539,-31.848467,-24.871748,-28.748407,-29.370872,-28.264683,-24.504797,-28.420296,-22.376614,-28.163195,-31.479525,-30.409653,-24.557234,-19.500881
3Pb1B51RXr8DnmGpR14GXl,italian electronica,Rückenfigur,./scrapes/Dark/0005_R ckenfigur.mp3,https://p.scdn.co/mp3-preview/4d9612f4ce632faf59d73e0409efca2587cdaef4?cid=04efa8f320b849739fa98c7d12ffbe9c,0005_R ckenfigur.mp3,Dardust,0.627,0.468,7,-10.916,0,0.0291,0.522,0.927,0.326,0.13,95.002,Dark,[[0.19668241 0.24315768 0.26948658 ... 0.16270436 0.21412838 0.25713423]],32.31706950761605,44.03706447213477,0.3571907887235284,276.5002789569553,0.7348739,0.13852827,0.1867744,0.026412843,-174.74945,172.83043,-5.237338,27.805643,-1.4137912,15.157653,2.4802105,4.8698378,1.1063021,-0.15405089,6.42508,4.1470203,9.012544,4.549473,7.1160946,2.9442601,-0.016469099,2.5626802,2.626882,2.1307619,4.2809453,3.2989824,1.0949839,-0.8226661,0.76481897,3.5244355,57.978313,21.997377,14.85227,21.246683,15.247338,16.206434,8.834997,7.8005586,6.973795,7.058062,7.603893,7.6130166,7.0340967,6.3435664,7.1853256,6.645136,7.5787573,6.6298947,6.1883593,6.069227,5.2565155,5.635967,5.9649653,6.755596,7.2722573,6.8729143,-12.699909,237.9335,30.546074,85.679214,43.48094,54.362907,28.639965,32.40318,22.58303,20.445858,33.830116,30.085878,32.13298,24.869755,28.167055,20.857697,21.617054,26.533428,25.719273,28.070518,23.777779,20.876228,20.233458,23.308117,27.00438,22.651642,-291.12128,118.83734,-59.621162,-19.609032,-41.096138,-24.094193,-26.160053,-22.405952,-19.452179,-21.124466,-18.994343,-17.547985,-14.410663,-15.673311,-13.761185,-18.861885,-22.098736,-19.69994,-18.34001,-15.090667,-12.012736,-16.465298,-23.024912,-19.395344,-19.61846,-16.577833
0ziXftS3A7jAVobpKVKwg9,icelandic classical,"Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir)",./scrapes/Dark/0006_Dvergm l with Steind r Andersen Hilmar rn Hilmarsson and Mar a Huld Markan Sigf sd ttir.mp3,https://p.scdn.co/mp3-preview/728e9c2984513a9550fcea88a3be6ebe6cb8e80f?cid=04efa8f320b849739fa98c7d12ffbe9c,0006_Dvergm l with Steind r Andersen Hilmar rn Hilmarsson and Mar a Huld Markan Sigf sd ttir.mp3,Hilmar Örn Hilmarsson,0.452,0.507,9,-13.181,0,0.0272,0.215,0.905,0.0788,0.56,130.608,Dark,[[0.18235658 0.18390869 0.17744294 ... 0.10510843 0.12818718 0.13570023]],16.071763504061803,9.860196540761345,1.6448072240559952,116.75626264348472,0.4775349,0.0487034,0.16607383,0.056679048,-127.349106,172.76286,-38.9392,42.690353,-12.771213,18.5091,-7.1863594,15.227067,6.036448,2.8014402,-0.16015804,5.438214,8.293221,0.8445051,5.06738,0.7373265,0.21837196,-4.6586266,4.517788,-3.5784614,0.551073,-5.3691735,2.0784066,4.616948,0.89884776,-0.703809,25.609026,13.314389,8.848237,13.358882,9.341359,8.797725,8.701,8.350511,8.15132,8.400441,7.2664213,8.048748,8.003815,7.1995416,7.409059,8.449391,7.3525715,6.543082,6.2413445,5.8945646,7.060344,6.9100137,7.333551,7.6880045,6.3386574,7.7046175,-34.92299,216.76259,-10.6952095,83.93123,15.691949,46.14228,28.10461,42.780357,36.96621,28.866055,25.778233,34.340347,31.87255,27.422318,27.644253,32.93406,22.241684,18.355106,26.038437,13.258681,23.961468,14.9488,26.41467,29.205647,23.477894,29.059437,-193.28047,131.9733,-72.54979,-3.213114,-40.61145,-9.244274,-36.44481,-13.314804,-18.744518,-24.979301,-24.12159,-18.84436,-17.407686,-21.695786,-20.316029,-20.502102,-20.787334,-25.312674,-17.928,-27.247902,-21.355286,-27.904734,-21.350882,-22.807076,-22.335728,-23.736908
1ZaOnB3zJoGdf56rQPqOi5,neo-classical,Autumn Rain Rework,./scrapes/Dark/0007_Autumn Rain Rework.mp3,https://p.scdn.co/mp3-preview/5c2a600742c2a615cfba4e974cf7c95d974e83d3?cid=04efa8f320b849739fa98c7d12ffbe9c,0007_Autumn Rain Rework.mp3,Vivian Roost,0.342,0.437,8,-13.006,1,0.0341,0.81,0.834,0.387,0.0394,172.552,Dark,[[0.14923346 0.18008313 0.18801174 ... 0.19323526 0.18998322 0.1980777 ]],23.998118865069188,16.344373018253616,1.9158401035145385,121.97320418350344,0.48808697,0.065205924,0.19613534,0.06117087,-160.37207,206.8807,-29.973297,14.7370205,0.9847661,8.111629,5.0998955,2.456111,4.5739546,-1.9109554,2.2076192,1.3943831,4.061996,5.331996,5.8600535,2.4353163,0.95959437,2.0385637,1.6231377,-2.0672958,-0.28643093,2.5348496,0.20356497,1.7625749,2.364041,1.8729358,27.607029,20.204865,15.219493,18.092228,18.984344,10.635173,8.525085,7.5210915,6.78313,7.562018,7.024122,7.838084,7.640984,7.100175,6.242642,7.738207,7.1751747,6.3057656,7.525024,5.934926,6.6256547,6.1881394,6.262092,6.815897,6.483635,7.2274375,-84.139984,253.52702,14.710496,52.66187,36.647636,34.21106,31.255753,31.209183,26.44131,29.157566,24.346539,30.563034,30.553034,29.442028,26.10045,25.6581,23.292128,21.864655,22.057217,19.117474,22.739628,23.288616,21.815033,26.287676,23.764793,30.815216,-243.70079,149.60477,-67.22978,-54.402664,-70.41237,-28.070404,-25.16691,-24.816471,-18.607769,-27.102095,-20.089235,-21.636948,-19.07845,-14.179775,-15.952107,-23.01183,-27.778164,-18.219364,-23.65849,-19.563168,-26.19867,-16.97937,-20.76091,-17.154902,-17.642675,-22.623398
2njj6RRRr3LTQ0KR57k3bY,cello,Carapace,./scrapes/Dark/0008_Carapace.mp3,https://p.scdn.co/mp3-preview/afccdc6c43a6990bcd072eeffe4143d96e4738e8?cid=04efa8f320b849739fa98c7d12ffbe9c,0008_Carapace.mp3,Julia Kent,0.479,0.325,4,-14.01,0,0.0333,0.161,0.752,0.104,0.222,132.046,Dark,[[0.162123   0.18262714 0.17156467 ... 0.17575476 0.14741606 0.13846117]],27.62125555410266,16.511347975113114,2.6555515401387053,135.20028695297393,0.51387066,0.06423922,0.21426086,0.07201822,-148.87318,199.02914,-28.306532,28.042295,6.357623,22.653368,2.170722,0.402468,5.91542,-2.5619535,-1.3889617,2.2141502,0.4372461,-0.28171775,0.8859151,-1.3323517,-5.7161107,-11.761327,-6.8024516,-5.1812973,1.6439348,-8.627007,-8.971433,-5.0761375,-8.398148,-3.1125674,22.373587,10.508486,7.260468,8.017689,8.04038,6.9547577,7.259607,6.2741923,6.4550743,5.59461,5.217427,7.133297,8.326189,6.647901,5.8108172,6.3056946,6.38807,5.3740563,5.0736523,5.1018667,4.6872134,5.615275,5.924572,5.9534802,5.8546095,5.574979,-89.50275,224.8252,-5.8423133,54.92814,35.112785,50.987823,26.144678,22.13018,30.815485,20.786661,16.276512,22.125645,23.659058,19.108994,17.151405,18.56696,18.014603,7.2613506,11.846397,10.7303295,17.380545,8.261864,12.972477,17.918606,15.100071,22.553026,-226.27313,136.90302,-54.610203,-2.2728732,-31.16568,2.6639326,-22.652641,-18.004036,-15.438351,-18.560585,-17.594286,-18.073162,-23.329983,-22.072754,-16.755466,-21.879902,-24.625935,-29.840353,-24.43517,-26.6398,-13.015192,-30.933613,-31.009972,-23.414818,-27.49519,-21.08105
4HUsC4vT6Aqeql8FKLfnbJ,soundtrack,No Ball Games (Original Motion Picture Soundtrack),./scrapes/Dark/0009_No Ball Games Original Motion Picture Soundtrack.mp3,https://p.scdn.co/mp3-preview/be7f6cc8be80b5bd78999f10bad9008e5157c5a3?cid=04efa8f320b849739fa98c7d12ffbe9c,0009_No Ball Games Original Motion Picture Soundtrack.mp3,Patrick Jonsson,0.24,0.229,0,-18.088,1,0.0337,0.925,0.951,0.0626,0.0384,96.626,Dark,[[0.1631399  0.14326835 0.22156714 ... 0.25084904 0.20039232 0.20215367]],31.979346624587393,14.070166141590677,2.5172924948471334,93.99719858465548,0.428472,0.055507857,0.24201345,0.070118375,-212.45251,229.51045,11.927832,27.632202,11.688384,11.669122,0.5909064,2.9265926,0.89021766,0.80714875,2.545779,0.18878812,8.192154,4.0965652,4.5322104,0.44504777,-2.5218394,-4.1650352,-4.058103,-0.020682296,2.3266606,1.1291078,-4.10565,-2.556009,1.9845904,5.6723804,23.027693,8.887232,11.820445,7.1437664,8.774763,6.9839253,7.117801,6.9688563,6.619459,7.558445,6.3286233,6.4460416,6.9248786,6.916868,6.610605,6.3697305,6.259237,5.5991545,6.240816,6.718309,5.678598,5.804391,6.3360558,6.5659194,6.2260485,6.576614,-166.7608,256.04407,51.893814,47.489937,35.761925,43.70423,26.003445,25.621792,22.315056,23.44348,21.136103,20.420559,32.98889,22.690548,23.12376,18.9719,16.218472,16.443012,18.136711,20.997868,18.863548,20.061646,18.557053,16.676504,25.189674,29.283825,-288.28812,176.41052,-20.000597,3.2631133,-14.12717,-10.553595,-21.404049,-15.816826,-21.625395,-22.534964,-19.25069,-25.705326,-15.029681,-17.093437,-15.876364,-23.918716,-24.169563,-21.233398,-24.613539,-22.450161,-15.857072,-18.942558,-23.975025,-21.111443,-26.910496,-16.111366
