id,genre,track_name,location,preview_url,filename,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
0ziXftS3A7jAVobpKVKwg9,post-rock,"Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir)","./scrapes/Dark/Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir).mp3",https://p.scdn.co/mp3-preview/728e9c2984513a9550fcea88a3be6ebe6cb8e80f?cid=04efa8f320b849739fa98c7d12ffbe9c,"Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir).mp3",Sigur Rós,0.452,0.507,9,-13.181,0,0.0272,0.215,0.905,0.0788,0.56,130.608,Dark
0ziXftS3A7jAVobpKVKwg9,compositional ambient,"Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir)","./scrapes/Dark/Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir).mp3",https://p.scdn.co/mp3-preview/728e9c2984513a9550fcea88a3be6ebe6cb8e80f?cid=04efa8f320b849739fa98c7d12ffbe9c,"Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir).mp3",Hilmar Örn Hilmarsson,0.452,0.507,9,-13.181,0,0.0272,0.215,0.905,0.0788,0.56,130.608,Dark
2njj6RRRr3LTQ0KR57k3bY,compositional ambient,Carapace,./scrapes/Dark/Carapace.mp3,https://p.scdn.co/mp3-preview/afccdc6c43a6990bcd072eeffe4143d96e4738e8?cid=04efa8f320b849739fa98c7d12ffbe9c,Carapace.mp3,Julia Kent,0.479,0.325,4,-14.01,0,0.0333,0.161,0.752,0.104,0.222,132.046,Dark
1F3pzdYyCJlnQoCM9gFzaU,alternative dance,Dimensions,./scrapes/Dark/Dimensions.mp3,https://p.scdn.co/mp3-preview/5bab5a0e4b071d63509896b706101d0d6267632a?cid=04efa8f320b849739fa98c7d12ffbe9c,Dimensions.mp3,Arcade Fire,0.218,0.179,3,-24.814,1,0.0397,0.966,0.956,0.0858,0.0383,163.743,Dark
74xCaDznBiIIktSPbFd31H,electronica,Blurred - Sven Helbig Rework,./scrapes/Dark/Blurred - Sven Helbig Rework.mp3,https://p.scdn.co/mp3-preview/b671ee0fc405718f36b68f3a2f0b1d2476bd09cf?cid=04efa8f320b849739fa98c7d12ffbe9c,Blurred - Sven Helbig Rework.mp3,Kiasmos,0.0855,0.122,2,-18.526,1,0.0436,0.946,0.945,0.134,0.0372,85.44,Dark
3Pb1B51RXr8DnmGpR14GXl,italian electronica,Rückenfigur,./scrapes/Dark/Rückenfigur.mp3,https://p.scdn.co/mp3-preview/4d9612f4ce632faf59d73e0409efca2587cdaef4?cid=04efa8f320b849739fa98c7d12ffbe9c,Rückenfigur.mp3,Dardust,0.627,0.468,7,-10.916,0,0.0291,0.522,0.927,0.326,0.13,95.002,Dark
0ziXftS3A7jAVobpKVKwg9,icelandic classical,"Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir)","./scrapes/Dark/Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir).mp3",https://p.scdn.co/mp3-preview/728e9c2984513a9550fcea88a3be6ebe6cb8e80f?cid=04efa8f320b849739fa98c7d12ffbe9c,"Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir).mp3",Hilmar Örn Hilmarsson,0.452,0.507,9,-13.181,0,0.0272,0.215,0.905,0.0788,0.56,130.608,Dark
1ZaOnB3zJoGdf56rQPqOi5,neo-classical,Autumn Rain Rework,./scrapes/Dark/Autumn Rain Rework.mp3,https://p.scdn.co/mp3-preview/5c2a600742c2a615cfba4e974cf7c95d974e83d3?cid=04efa8f320b849739fa98c7d12ffbe9c,Autumn Rain Rework.mp3,Vivian Roost,0.342,0.437,8,-13.006,1,0.0341,0.81,0.834,0.387,0.0394,172.552,Dark
2njj6RRRr3LTQ0KR57k3bY,cello,Carapace,./scrapes/Dark/Carapace.mp3,https://p.scdn.co/mp3-preview/afccdc6c43a6990bcd072eeffe4143d96e4738e8?cid=04efa8f320b849739fa98c7d12ffbe9c,Carapace.mp3,Julia Kent,0.479,0.325,4,-14.01,0,0.0333,0.161,0.752,0.104,0.222,132.046,Dark
4HUsC4vT6Aqeql8FKLfnbJ,soundtrack,No Ball Games (Original Motion Picture Soundtrack),./scrapes/Dark/No Ball Games (Original Motion Picture Soundtrack).mp3,https://p.scdn.co/mp3-preview/be7f6cc8be80b5bd78999f10bad9008e5157c5a3?cid=04efa8f320b849739fa98c7d12ffbe9c,No Ball Games (Original Motion Picture Soundtrack).mp3,Patrick Jonsson,0.24,0.229,0,-18.088,1,0.0337,0.925,0.951,0.0626,0.0384,96.626,Dark
